image,package_name,type,vulnerability_id,severity,url,patched_version,mirrored,state,notes
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2018-6485,CRITICAL,https://avd.aquasec.com/nvd/cve-2018-6485,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2018-6551,CRITICAL,https://avd.aquasec.com/nvd/cve-2018-6551,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2019-9169,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-9169,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2009-5155,HIGH,https://avd.aquasec.com/nvd/cve-2009-5155,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2018-1000001,HIGH,https://avd.aquasec.com/nvd/cve-2018-1000001,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2020-1751,HIGH,https://avd.aquasec.com/nvd/cve-2020-1751,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2020-1752,HIGH,https://avd.aquasec.com/nvd/cve-2020-1752,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2021-3326,HIGH,https://avd.aquasec.com/nvd/cve-2021-3326,,,triaged,
rancher/coredns-coredns:1.6.9,github.com/dgrijalva/jwt-go,gobinary,CVE-2020-26160,HIGH,https://avd.aquasec.com/nvd/cve-2020-26160,,,triaged,
rancher/coredns-coredns:1.6.9,golang.org/x/crypto,gobinary,CVE-2020-9283,HIGH,https://avd.aquasec.com/nvd/cve-2020-9283,,,triaged,
rancher/coredns-coredns:1.6.9,golang.org/x/text,gobinary,CVE-2020-14040,HIGH,https://avd.aquasec.com/nvd/cve-2020-14040,v0.3.3,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,apk-tools,alpine,CVE-2021-30139,HIGH,https://avd.aquasec.com/nvd/cve-2021-30139,2.10.6-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,busybox,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcrypto1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcrypto1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2020-8231,HIGH,https://avd.aquasec.com/nvd/cve-2020-8231,7.69.1-r2,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2020-8285,HIGH,https://avd.aquasec.com/nvd/cve-2020-8285,7.69.1-r3,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2020-8286,HIGH,https://avd.aquasec.com/nvd/cve-2020-8286,7.69.1-r3,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libssl1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libssl1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,ssl_client,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
